English,Hindi
Physical atomic veight scale,भौतिक परमाणुभर मापक्रम
Physical balance,भौतिक तुला
Physical independence,भौतिक निराश्रितता
Physical mass unit,भौतिक द्रव्यमान मात्रक
Physical optics,भौतिक प्रकाशिकी
Physical picture,भौतिक चित्र
Physical process,भौतिक प्रक्रम
Physical productivity,वस्तुपरक उत्पादिता
Physical properties,"भौतिक गुण, भौतिक गुणधर्म"
Physical quantity,भौतिक राशि
Physical Roentgen equivalent,भौतिक रून्टगेन तुल्य
Physical sciences,भौतिक विज्ञान
Physical simulation,"भौतिक अनुकार, भौतिक अनुकारिता"
Physicist,भौतिक विज्ञानी
Physico-chemical,भौतिक रसायनिक
Physico-chemical equilibrium,भौतिक रसायनिक साम्यावस्था
Physico-chemical method,भौतिक रसायनिक विधि
Physico-chemical reaction,भौतिक रसायनिक अभिक्रिया
Physics,"भौतिकी, भौतिक विज्ञान"
Physiographical evolution,भूआकृतिक विकास
Physiotherapy,भौतिक चिकित्सा
Pi π meson,"π मेसान, पाई मेसान"
Piano,पियानो
Pick up-velocity (=scanning speed),क्रमवीक्षण चाल
Pick-ip proess,उद्ग्रहण प्रक्रम
Pick-up,"पिक-अप, उद्ग्राही"
Pick-up head,पिक-अप शीर्ष
Pick-up spectral,पिक-अप स्पेक्ट्रमी
Pickup voltage,"पिक-अप वोल्टता, उद्ग्राही वोल्टता"
Picoampere,पीकोएम्पियर (मात्रक)
Picofarad,पीकोफैराड
Picolo,पिकोलो
Picosecond,पीकोसेकेंड
Picowatt,पीको वाट
Pictrue white,चित्रश्वेत
Picture,चित्र
Picture black,चित्र कृष्ण
Picture brightness,चित्र-द्युति
Picture carrier,चित्र वाहक
Picture compression,चित्रांश संकुचन
Picture contol points,चित्र-नियंत्रण बिन्दु
Picture control coil (=frame coil),"चित्रनियंत्रण कुंडली, फ्रेंम कुंडली"
Picture detail,चित्र विवरण
Picture element,चित्र अल्पांश
Picture field,चित्रण क्षेत्र
Picture frequency,चित्र आवृत्ति
Picture inversion,चित्र-व्युत्क्रमण
Picture lock,चित्र अभिबंधन
Picture phone,चित्र फ़ोन
Picture rotate control (=turn pictuer control),चित्र घूर्णन नियंत्रण
Picture signal,चित्र सिग्नल
Picture signal amplitude,चित्र सिग्नल आयाम
Picture size,चित्र साइज
Picture synchronization (=frame synchronization),"चित्र तुल्याकालन, फ़्रेम तुल्यकालन"
Picture synthesis,चित्र संश्लेषण
Picture transmission (=image transmission),"चित्र संचरण, चित्रप्रेषण"
Picture transmitter (=video transmitter),"चित्र प्रेषित्र, वीडियो प्रेषित्र"
Picture tube (=kinescope),"चित्र नलिका, किनेस्कोप"
Picture tube brightner,चित्र नलिका प्रद्योतक
Pie (π) mode,पाइ (π) विधा
Pie (π) network,पाइ (π) जाल
Pie winding,पाई कुंजलन
Pierce circuit,पियर्स परिपथ
Piezocrystallization,दाब क्रिस्टलन
Piezoelectric crystal,दाब विद्युत् क्रिस्टल
Piezoelectric effect,दाब विद्युत् प्रभाव
Piezoelectric medium,दाब-विद्युत् माध्यम
Piezoelectric pick up,"दाब वैद्युत पिकअप, दाब वैद्युत उद्ग्राही"
Piezoelectric quartz vibrator,"दाब विद्युत् स्फटिक कंपित्र, दाब विद्युत् क्वार्ट्ज कंपित्र"
Piezoelectric tensor,दाबवैद्युत प्रदिश
Piezoelectricity,दाब विद्युत्
Piezoelectrics,दाब-विद्युतिकी
Piezomagnetism,दाब-चुंबकत्व
Piezometer,दाबमापी
Piezometer tube,दाबमापी नलिका
Piezooid,पिज्वायड
Piezotropy,पीजोट्रॉपी
Pigtail splice,पिगटेल गुंथन
Pile,"उत्सूत्र, रोंआ, पुंज"
Pile equation (=critical equation),"पुंज समीकरण, क्रांतिक समीकरण"
Pile factor,पुंज गुणांक
Pile gun,पाइल गन
Pile simulator,पुंज अनुकारी
Pile-up,अतिव्यापन
Pilea,पाइलिया
Piled up group,पुंज संचित समूह
Pillar type camera,स्तंभ प्रकार कैमरा
Pillbox,"समांतर पट्टिका संचारण लाइन, पिल बाक्स"
